 source airport, destination apirport
GKA,GKA
MAG,MAG
HGU,HGU
POM,LAE
WWK,WWK
UAK,UAK
GOH,GOH
SFJ,SFJ
THU,THU
AEY,AEY
EGS,EGS
IFJ,IFJ
KEF,KEF
YAM,RKV
YAY,YAM
YBC,YAY
YBG,YBC
YBK,YBG
YBL,YBK
YBR,YBL
YCB,YBR
YCD,YCB
YCG,YCD
YCL,YCG
YCO,YCL
YCY,YCO
YZS,YCY
YDF,YDF
YEG,YDQ
YEK,YEG
YEV,YEK
YFB,YEV
YFC,YFB
YFO,YFC
YFS,YFO
YGP,YFS
YGR,YGL
YHD,YGP
YHI,YGR
YHK,YHD
YHM,YHK
YHY,YHM
YHZ,YHU
YIO,YHZ
YLL,YJT
YLW,YKA
YMM,YLW
YNA,YMM
YPL,YOW
YQF,YQB
YQQ,YQG
YQR,YQM
YQT,YQR
YQX,YQT
YSB,YRT
YTE,YSB
YTS,YSM
YTZ,YTE
YUB,YTS
YUT,YUL
YVP,YUT
YVQ,YVM
YVR,YVO
YWG,YVR
YWK,YWG
YWL,YWK
YXH,YXE
YXP,YXL
YXT,YXP
YXU,YXS
YXY,YXT
YYB,YXU
YYD,YYC
YYH,YYD
YYJ,YYE
YYQ,YYJ
YYT,YYR
YYU,YYT
YYZ,YYU
YZF,YYZ
YZP,YZF
ZFM,YZV
ALG,BJA
DJG,ALG
MZW,TMR
CZL,AAE
TEE,CZL
CFK,TEE
TLM,HRM
ORN,TLM
MUW,ORN
BSK,AZR
ELG,BSK
HME,GHA
INZ,HME
OGX,INZ
IAM,OGX
OUA,COO
BOY,OUA
TML,ACC
NYI,TML
ABJ,TKD
ABV,ABJ
BNI,ABV
ENU,BNI
IBA,CBQ
ILR,ENU
KAN,IBA
LOS,KAN
PHC,LOS
SKO,PHC
MIR,NIM
TUN,MIR
GAF,TUN
SFA,DJE
TOE,SFA
ANR,LFW
CRL,BRU
LGG,CRL
OST,LGG
DRS,SXF
ERF,DRS
FRA,ERF
FMO,FMO
HAM,HAM
CGN,CGN
DUS,DUS
MUC,MUC
NUE,NUE
LEJ,LEJ
SCN,STR
TXL,TXL
HAJ,HAJ
BRE,BRE
HHN,HHN
MHG,PAD
PAD,DTM
AGB,FDH
FDH,ZQW
ZQW,GWT
KSF,TLL
TAY,HEL
IVL,KOK
JOE,KAO
JYV,KTT
KEM,LPP
KOK,MHQ
KAO,OUL
LPP,POR
MHQ,RVN
OUL,TMP
TKU,VAA
VAA,BFS
BHD,BHD
LDY,BHX
GLO,MAN
NQY,CWL
BRS,BRS
LPL,LPL
LTN,LTN
BOH,SOU
ACI,JER
LGW,LGW
LCY,LCY
LHR,LHR
SEN,HUY
BLK,LBA
CEG,NCL
MME,EMA
KOI,ABZ
INV,GLA
EDI,EDI
ILY,NWI
BEB,STN
EXT,AMS
MST,EIN
GRQ,ORK
ORK,DUB
NOC,SNN
KIR,AAR
SNN,BLL
CPH,CPH
EBJ,LUX
AES,BOO
ANX,BGO
BJF,OSL
HAU,OLA
HAA,RYG
LKL,LYR
RRS,SKE
RYG,SRP
LYR,TRF
TRF,TRD
SVG,SVG
GDN,GDN
KRK,KRK
KTW,POZ
POZ,WAW
WRO,GOT
JKG,NYO
THN,MMX
KID,KRF
KLR,LYC
HAD,UME
VXO,VHM
EVG,VST
KRF,LLA
LYC,ARN
BMA,RLG
BLE,CPT
CPT,DUR
DUR,JNB
KIM,GBE
MGH,BZV
MUB,PNR
PNR,MRU
MRU,DLA
MVR,NLA
LUN,HAH
MFU,RUN
HAH,ZSE
DZA,TNR
ZSE,DIE
TNR,ANM
SMS,SVP
TMM,LAD
LAD,MEG
MEG,BEW
VHC,INH
SZA,VXC
SDD,MPM
TMS,POL
BEW,UEL
INH,TET
VXC,VNX
APL,NDJ
POL,BUQ
UEL,VFA
TET,HRE
BUQ,BLZ
VFA,LLW
BLZ,FIH
MSU,BKY
FIH,GOM
MDK,BKO
KGA,BJL
BJL,FUE
VDE,LPA
ACE,ACE
TFS,TFS
TFN,FNA
MLN,ROB
MLW,AGA
AGA,FEZ
TTA,RBA
OUD,CMN
RAK,RAK
OZZ,DKR
NKC,BVC
NDB,VXE
BVC,ADD
AMH,HGA
GMB,BBO
MQX,CAI
HRG,HRG
LXR,MBA
ASW,WIL
MBA,WJR
WIL,BEN
GHT,TIP
LTD,KGL
KME,KRT
ARK,JRO
JRO,ZNZ
MYW,EBB
EBB,TIA
TIA,BOJ
BOJ,SOF
VAR,LCA
PFO,PFO
DBV,DBV
OSI,SPU
ZAG,ZAG
ZAD,ALC
LEI,OVD
OVD,BIO
BCN,BCN
BJZ,GRO
GRX,IBZ
XRY,MJV
MJV,MAD
AGP,AGP
MAH,MAH
PNA,SCQ
VLC,VLC
VLL,SDR
VGO,ZAZ
SDR,SVQ
AGF,BOD
EGC,TLS
PUF,BIQ
LDE,RDZ
ANG,DLE
PGX,ETZ
BIQ,BIA
CLY,FSC
FSC,AJA
CFE,LYS
AUR,MRS
NCE,NCE
PGF,BZR
MPL,AVN
BZR,BVA
LEH,CDG
ORY,ORY
LIL,LIL
BES,RNS
DNR,NTE
